Username,password,firstName,lastName,emailAddress,type
This one,Areally$tr0ngPassw@rd,Ferdinand,Ferdinand,sjmulhern@wpi.edu,0
TheCuddleMonster,aWeakerPassw0rd,Nikolas,Nikolas,joeBiden@usa.gov,1
sjmulhern,weakPassword,Constantine,Constantine,putin@rus.ru,2
Snuggles,password,Nero,Nero,wack@giggle.pig,2
admin,password,Admin,Admin,admin@admin.ad,0
staff,password,Staff,Staff,staff@staff.st,1
Nurse11102,laksdksl12,Jill,Kosnge,jkosnge@wpi.edu,5
Nurse11103,laksdksl12,Jack,Kosnge,jkosnge2@wpi.edu,5
Janitor11102,laksdksl12,Nancy,addles,nAddlesgit p@wpi.edu,4
Janitor11103,laksdksl12,Nick,aidas,nAidas@wpi.edu,4
